year,ws,treatment,plot_type,plot,tree,azimuth,dis_pl_ctr_m,history,species,sp_cd,cr_dam,deg_lean,dbh_cm,tr_ht_m,comments
2022,77,Regen,Hugo,70,2466,246,7.6,1,Blackgum,693,1,0,13.1,9.3,meas ht 2x; broken top
2022,77,Regen,LL Conv.,100,2754,57,10.6,1,Longleaf Pine,121,0,0,14.6,16.1,
2022,77,Regen,Hugo,60,2947,46,9.6,1,Loblolly Pine,131,1,0,17,14,meas dbh + ht 2x; broken top; bark slough
2022,77,Regen,Hugo,50,2867,191,10.4,1,Post Oak Hybrid,835,2,0,17.7,8.5,meas dbh + ht 2x; broken top
2022,77,Regen,Hugo,240,2654,300,7.8,1,Willow Oak,831,0,10,18.7,19,
2022,77,Regen,Hugo,50,2859,116,9.8,2,Loblolly Pine,131,2,0,18.8,14.7,broken top; DC=2
2022,77,Regen,Hugo,70,2459,195,8.7,1,Blackgum,693,0,0,18.9,15.1,
2022,77,Regen,Hugo,240,2624,60,8.2,1,Blackgum,693,0,0,19.9,13.1,
2022,77,Regen,Hugo,240,2621,6,5.8,2,Willow Oak,831,0,10,20.8,18.2,DC=2?
2022,77,Regen,Hugo,50,2876,331,6.2,1,Post Oak,835,0,10,20.9,14.9,
2022,77,Regen,Hugo,60,2958,296,7,1,Longleaf Pine,121,0,0,21.2,15.7,
2022,77,Regen,Hugo,240,2658,228,11.3,1,Post Oak,835,1,0,22,15.9,meas ht 2x; broken top
2022,77,Regen,Hugo,50,2869,210,10.4,1,Loblolly Pine,131,1,5,22.5,22.1,broken top
2022,77,Regen,Hugo,50,2872,252,6.4,1,Post Oak ,835,0,0,24,14.5,
2022,77,Regen,LL Conv.,63,1301,9,9,1,Longleaf Pine,121,0,0,24.4,19,
2022,77,Regen,Hugo,240,2653,305,7.8,1,Willow Oak,831,0,0,24.5,20.6,
2022,77,Regen,Hugo,240,2623,30,7.3,1,Willow Oak,831,0,5,25.8,20.3,
2022,77,Regen,Hugo,60,2955,197,9.3,1,Longleaf Pine,121,0,0,25.9,20.8,
2022,77,Regen,Hugo,130,2941,316,6.7,1,Blackgum ,693,0,0,26.1,16.5,meas ht 2x; broken top
2022,77,Regen,Hugo,50,2870,216,10.8,1,Loblolly Pine,131,0,0,26.3,23.2,
2022,77,Regen,Hugo,50,2860,116,10.2,1,Loblolly Pine,131,0,0,27.3,25.4,bark slough
2022,77,Regen,LL Conv.,80,2470,25,9.4,1,Loblolly Pine,131,0,0,28.9,25.4,
2022,77,Regen,Hugo,50,2879,351,6.8,1,Sweetgum,611,1,0,31.2,17.7,meas ht 2x; broken top
2022,77,Regen,LL Conv.,63,1314,278,6.6,1,Loblolly Pine,131,0,0,31.2,23.6,
2022,77,Regen,LL Conv.,90,2968,260,10,1,Loblolly Pine,131,0,0,34.9,25.7,
2022,77,Regen,Hugo,170,2537,127,3.7,1,Loblolly Pine,131,0,0,35,28.9,
2022,77,Regen,Hugo,50,2861,126,9,1,Loblolly Pine,131,0,0,35.1,25.2,
2022,77,Regen,Hugo,70,2467,240,9.4,1,Loblolly Pine,131,0,0,38.7,27.8,
2022,77,Regen,Hugo,240,2622,23,4.6,1,Loblolly Pine,131,0,0,39.4,26.5,
2022,77,Regen,LL Conv.,90,2965,193,10.3,1,Loblolly Pine,131,0,0,39.9,28,
2022,77,Regen,LL Conv.,100,2777,334,10.7,1,Longleaf Pine,121,0,25,40.5,24.6,meas dbh 2x
2022,77,Regen,LL Conv.,110,2529,327,4,1,Loblolly Pine,131,0,0,40.5,28.2,
2022,77,Regen,Hugo,50,2868,191,5.2,1,Loblolly Pine,131,0,0,41.5,24.9,
2022,77,Regen,LL Conv.,230,2555,4,8.7,1,Loblolly Pine,131,0,0,41.8,27.4,
2022,77,Regen,Hugo,60,2942,10,2.1,1,Longleaf Pine,121,0,0,42,24.2,meas ht 2x
2022,77,Regen,Hugo,130,2940,303,7.9,1,Loblolly Pine,131,0,0,42,25.6,meas ht 2x
2022,77,Regen,Hugo,60,2945,28,7.7,1,Longleaf Pine,121,0,0,42.6,24.1,
2022,77,Regen,Hugo,200,2551,244,6.2,1,Loblolly Pine,131,0,0,43.3,29.9,
2022,77,Regen,LL Conv.,80,2478,181,4,1,Loblolly Pine,131,0,0,44.4,27.3,
2022,77,Regen,Hugo,200,2546,60,7,2,Loblolly Pine,131,2,0,45.3,28,DC=2; recent de@h; possible bug infection
2022,77,Thin,Hugo,140,313,149,7.8,1,Loblolly Pine,131,0,10,7.9,11,meas ht 2x
2022,77,Thin,Hugo,140,314,298,9.1,1,Loblolly Pine,131,0,10,8.1,9.9,
2022,77,Thin,LL Conv.,166,216,276,10.7,1,Blackgum,693,2,10,8.4,6.9,tallest point @ bend
2022,77,Thin,LL Conv.,166,233,318,10.3,1,Blackgum,693,1,10,8.4,5.8,broken top; tallest point is branch
2022,77,Thin,Hugo,140,2576,50,2.1,1,Sweetgum,611,0,0,8.5,10.2,
2022,77,Thin,LL Conv.,195,296,80,3.1,1,Sweetgum,611,0,0,9.2,8.4,broken top; meas dbh + ht 2x
2022,77,Thin,LL Conv.,195,258,58,4.5,1,Loblolly Pine,131,0,0,9.3,11.5,
2022,77,Thin,Hugo,140,2589,142,6.4,1,Loblolly Pine,131,0,0,9.3,12.5,
2022,77,Thin,Hugo,20,2492,184,8.9,1,Loblolly Pine,131,0,40,9.4,8,
2022,77,Thin,Hugo,140,2580,73,9.5,1,Loblolly Pine,131,0,5,9.4,12.7,
2022,77,Thin,Hugo,140,2597,180,3.3,1,Loblolly Pine,131,0,0,9.4,12,
2022,77,Thin,LL Conv.,166,243,7,9.4,1,Loblolly Pine,131,0,10,10.1,14.8,
2022,77,Thin,Hugo,140,2584,107,9.1,1,Loblolly Pine,131,0,0,10.3,12.8,
2022,77,Thin,Hugo,140,2599,191,8.8,1,Loblolly Pine,131,0,0,10.3,13.2,
2022,77,Thin,LL Conv.,166,177,168,7.2,1,Blackgum,693,0,10,10.6,14.9,
2022,77,Thin,LL Conv.,166,241,6,7.5,1,Loblolly Pine,131,0,0,10.6,13.1,
2022,77,Thin,Hugo,140,2596,176,7.1,1,Loblolly Pine,131,0,0,11.4,14.9,
2022,77,Thin,Hugo,140,2600,207,6.2,1,Loblolly Pine,131,0,0,11.6,14.7,
2022,77,Thin,LL Conv.,134,51,186,6.9,1,Post Oak,835,0,10,11.8,10.6,leaning more than in 2018
2022,77,Thin,LL Conv.,166,115,100,11.2,1,Loblolly Pine,131,0,0,11.8,14.1,
2022,77,Thin,LL Conv.,166,126,112,8.1,1,Loblolly Pine,131,0,5,11.8,15,
2022,77,Thin,Hugo,210,2448,330,8.8,1,Other HWD,300,0,0,11.9,9.7,meas dbh + ht 2x; broken top
2022,77,Thin,LL Conv.,166,108,93,6.5,1,Loblolly Pine,131,0,5,12,13.8,broken top; meas ht 2x
2022,77,Thin,LL Conv.,166,130,146,6.6,1,Loblolly Pine,131,0,0,12,16.6,
2022,77,Thin,LL Conv.,195,307,98,8.1,2,Loblolly Pine,131,0,5,12,7.8,broken top; DC=2
2022,77,Thin,Hugo,30,2892,285,8.8,1,Loblolly Pine,131,0,5,12.1,12.7,
2022,77,Thin,Hugo,210,2446,316,8.7,1,Loblolly Pine,131,0,0,12.1,17,meas dbh 2x; dead terminal branch is tallest point
2022,77,Thin,LL Conv.,166,197,176,2.4,1,Loblolly Pine,131,0,0,12.3,15.1,
2022,77,Thin,Hugo,140,2620,28,5.4,1,Loblolly Pine,131,0,10,13.2,19.2,
2022,77,Thin,LL Conv.,166,198,190,3.7,1,Loblolly Pine,131,0,0,13.4,17.7,
2022,77,Thin,Hugo,210,2449,329,8.7,1,Other HWD,300,0,0,13.6,10.9,meas dbh + ht 2x
2022,77,Thin,Hugo,210,2421,167,7.2,1,Loblolly Pine,131,0,0,13.7,16,meas dbh + ht 2x
2022,77,Thin,LL Conv.,134,57,216,7.7,2,Loblolly Pine,131,0,0,13.8,3.2,bark missing @ dbh; broken tree; DC=2
2022,77,Thin,Hugo,140,2578,73,4.4,1,Up. Blackgum,693,0,0,13.8,11,meas @ dbh below knot
2022,77,Thin,LL Conv.,166,128,138,8.5,1,Red Maple,316,0,0,14.3,16.3,
2022,77,Thin,LL Conv.,166,129,140,8.5,1,Red Maple,316,0,10,14.8,18.3,
2022,77,Thin,Hugo,140,2582,88,5.5,1,Loblolly Pine,131,0,0,14.8,17.3,meas dbh 2x
2022,77,Thin,Hugo,140,2613,329,6.6,1,Loblolly Pine,131,0,10,14.8,14.5,meas dbh 2x
2022,77,Thin,Hugo,140,2609,282,4.4,1,Willow Oak,831,1,0,14.9,11,meas dbh + ht 2x; broken top
2022,77,Thin,Hugo,30,2884,156,3.8,1,Water Oak,827,1,0,15.5,13,broken top
2022,77,Thin,Hugo,140,2592,144,9.8,1,Post Oak,835,0,0,15.5,10.4,meas dbh + ht 2x; bark missing @ dbh
2022,77,Thin,LL Conv.,195,442,286,3.5,1,Blackgum,693,0,0,15.9,16.1,
2022,77,Thin,LL Conv.,195,397,200,9.6,2,Loblolly Pine,131,0,0,16.1,3.1,bark missing @ dbh; broken top; DC=2
2022,77,Thin,LL Conv.,166,235,318,10.5,1,Blackgum,693,0,0,16.2,19,
2022,77,Thin,Hugo,10,2832,45,11.3,2,Up. Blackgum,693,1,0,16.2,13.6,meas dbh + ht 2x; broken top
2022,77,Thin,LL Conv.,166,112,98,10.6,1,Willow Oak,831,1,20,16.3,13.9,
2022,77,Thin,LL Conv.,195,357,144,4.6,1,Loblolly Pine,131,0,0,16.9,21.8,
2022,77,Thin,Hugo,140,2612,318,3,1,Post Oak,835,0,0,17.4,11.8,
2022,77,Thin,Hugo,140,2591,150,4.7,1,Loblolly Pine,131,0,0,17.9,19.3,
2022,77,Thin,LL Conv.,166,176,152,11,1,Willow Oak,831,0,5,18.2,13.7,meas ht 2x
2022,77,Thin,LL Conv.,195,420,260,9.9,1,Loblolly Pine,131,0,0,18.2,21.8,
2022,77,Thin,Hugo,140,2615,350,9.2,1,Post Oak,835,0,0,18.4,15.5,meas dbh + ht 2x
2022,77,Thin,Hugo,30,2885,189,3,1,Water Oak,827,2,0,18.5,10.4,broken top
2022,77,Thin,Hugo,140,2593,159,1.4,1,Loblolly Pine,131,0,0,19,19.9,
2022,77,Thin,LL Conv.,134,26,76,7.8,1,Loblolly Pine,131,0,0,19.1,23.5,meas ht 2x
2022,77,Thin,LL Conv.,166,87,47,9.3,2,Willow Oak,831,1,0,19.4,5.9,DC=2; broken top
2022,77,Thin,Hugo,140,2618,15,5.4,1,Loblolly Pine,131,0,0,19.7,21.3,
2022,77,Thin,LL Conv.,166,173,154,7.3,1,Loblolly Pine,131,0,0,20,21.6,
2022,77,Thin,Hugo,30,2887,223,7.1,1,Water Oak,827,0,10,20,14.7,meas ht 2x
2022,77,Thin,Hugo,140,2617,7,8.6,1,Loblolly Pine,131,0,0,20.1,20.4,
2022,77,Thin,Hugo,20,2498,284,9.3,1,Loblolly Pine,131,0,0,20.5,19.1,meas ht 2x
2022,77,Thin,Hugo,140,2605,226,5.3,1,Up. Blackgum,693,0,0,21.1,15.5,
2022,77,Thin,Hugo,30,2882,144,2.2,1,Water Oak,827,0,0,21.2,15.7,meas ht 2x
2022,77,Thin,LL Conv.,166,116,97,7.9,1,Loblolly Pine,131,0,0,21.4,20.5,
2022,77,Thin,LL Conv.,166,217,280,9.8,1,Blackgum,693,0,0,21.4,12.8,
2022,77,Thin,LL Conv.,195,253,44,6.7,1,Loblolly Pine,131,0,0,21.7,22.5,
2022,77,Thin,LL Conv.,195,411,254,6.2,1,Loblolly Pine,131,0,0,21.9,22.6,
2022,77,Thin,LL Conv.,166,236,320,9.7,1,Red Maple,316,0,0,22.2,19.1,
2022,77,Thin,Hugo,20,2489,116,6.4,1,Loblolly Pine,131,0,0,22.2,21.1,
2022,77,Thin,LL Conv.,195,389,180,7.1,1,Loblolly Pine,131,0,0,22.4,23.2,
2022,77,Thin,LL Conv.,166,127,134,6.4,1,Loblolly Pine,131,0,0,22.5,20.5,
2022,77,Thin,LL Conv.,166,174,152,10.3,1,Willow Oak,831,2,5,22.5,12.3,meas dbh + ht 2x; broken top
2022,77,Thin,LL Conv.,195,380,152,11.8,1,Loblolly Pine,131,0,0,22.5,25.6,
2022,77,Thin,LL Conv.,134,73,266,2.1,1,Loblolly Pine,131,1,10,22.9,22.6,meas dbh 2x
2022,77,Thin,Hugo,20,2499,306,6.5,1,Blackgum,693,1,0,23,15.5,broken top; meas dbh @ bulge
2022,77,Thin,Hugo,210,2430,220,6.8,1,Loblolly Pine,131,0,0,23.1,24.7,
2022,77,Thin,Hugo,140,2579,79,4.3,1,Up. Blackgum,693,0,0,23.2,16.3,
2022,77,Thin,LL Conv.,166,105,94,5.1,1,Loblolly Pine,131,0,0,23.5,21.5,
2022,77,Thin,Hugo,210,2454,354,10.5,1,Loblolly Pine,131,0,0,23.6,23.5,
2022,77,Thin,LL Conv.,195,348,140,9.6,1,Loblolly Pine,131,0,0,23.8,26.3,
2022,77,Thin,Hugo,210,2443,310,7.8,1,Loblolly Pine,131,0,0,23.8,24.9,skidder damage near dbh
