,year,ws,plot,tree,history,species,sp_cd,dbh_cm,tr_ht_m,comments,treatment,plot_type,azimuth,dis_pl_ctr_m,cr_dam,deg_lean,plotNum,BA,biomass
3087,2013,80,90,2648,1,Loblolly Pine,131,17.5,18.1,,,,,,,,80_90,240.5281875,93.2622558
3088,2013,80,90,2649,1,Loblolly Pine,131,11.1,16.3,,,,,,,,80_90,96.76890771,27.7549171
3089,2013,80,90,2650,1,Loblolly Pine,131,19.6,18.3,,,,,,,,80_90,301.7185585,126.1896806
3090,2013,80,90,2651,1,Loblolly Pine,131,10.3,10.1,,,,,,,,80_90,83.32289115,22.77807502
3091,2013,80,90,2652,1,Loblolly Pine,131,25.9,19.3,,,,,,,,80_90,526.852942,264.7727174
3093,2013,80,90,2654,1,Loblolly Pine,131,7.9,9.5,,,,,,,,80_90,49.01669938,11.39281941
3101,2013,80,90,2662,1,Loblolly Pine,131,34.7,21,,,,,,,,80_90,945.6900746,570.5662263
3112,2013,80,90,2673,1,Loblolly Pine,131,7.7,9,,,,,,,,80_90,46.56625711,10.66466832
3115,2013,80,90,2676,1,Loblolly Pine,131,19.9,18.3,,,,,,,,80_90,311.0255267,131.4058962
3116,2013,80,90,2677,1,Loblolly Pine,131,11.5,14.5,,,,,,,,80_90,103.8689071,30.48319084
3117,2013,80,90,2678,1,Loblolly Pine,131,12.4,15.1,,,,,,,,80_90,120.7628216,37.23130992
3120,2013,80,90,2681,1,Loblolly Pine,131,12,13.5,,,,,,,,80_90,113.0973355,34.12616544
3121,2013,80,90,2682,1,Loblolly Pine,131,8.7,10.2,,,,,,,,80_90,59.44678699,14.6304282
3122,2013,80,90,2683,1,Loblolly Pine,131,10,10.9,,,,,,,,80_90,78.53981634,21.07153199
3123,2013,80,90,2684,1,Loblolly Pine,131,10.7,10.1,,,,,,,,80_90,89.92023573,25.18786167
3124,2013,80,90,2685,1,Loblolly Pine,131,8.7,9.6,,,,,,,,80_90,59.44678699,14.6304282
3125,2013,80,90,2686,1,Loblolly Pine,131,8.1,9.7,,,,,,,,80_90,51.5299735,12.15291784
3126,2013,80,90,2687,1,Loblolly Pine,131,23.8,19.2,,,,,,,,80_90,444.8809357,211.5888893
3131,2013,80,90,2692,1,Loblolly Pine,131,7.8,6.2,,,,,,,,80_90,47.78362426,11.02478536
3132,2013,80,90,2693,1,Loblolly Pine,131,9.1,8,,,,,,,,80_90,65.03882191,16.45189601
3137,2013,80,100,202,2,Loblolly Pine,131,10.4,10.1,,,,,,,,80_100,84.94866535,23.36599603
3138,2013,80,100,203,1,Loblolly Pine,131,25.8,21,,,,,,,,80_100,522.7924335,262.0746686
3139,2013,80,100,204,1,Loblolly Pine,131,9.4,10.6,,,,,,,,80_100,69.39778172,17.91018903
3140,2013,80,100,205,1,Loblolly Pine,131,9.8,11.2,,,,,,,,80_100,75.42963961,19.98088397
3141,2013,80,100,206,1,Loblolly Pine,131,31,22.2,,,,,,,,80_100,754.767635,425.1840432
3142,2013,80,100,207,1,Loblolly Pine,131,11.5,12.6,,,,,,,,80_100,103.8689071,30.48319084
3147,2013,80,100,212,1,Loblolly Pine,131,15.8,11.4,,,,,,,,80_100,196.0667975,71.0002703
3148,2013,80,100,213,1,Loblolly Pine,131,19.8,19.5,,,,,,,,80_100,307.907496,129.652591
3149,2013,80,100,214,1,Loblolly Pine,131,12,12.9,,,,,,,,80_100,113.0973355,34.12616544
3152,2013,80,100,217,1,Loblolly Pine,131,30.5,21.3,,,,,,,,80_100,730.6166415,407.4372157
3153,2013,80,100,218,1,Loblolly Pine,131,8.6,8.2,,,,,,,,80_100,58.08804816,14.19656718
3154,2013,80,100,219,1,Loblolly Pine,131,23.7,20.8,,,,,,,,80_100,441.1502944,209.2359327
3155,2013,80,100,220,1,Loblolly Pine,131,22.4,20.3,,,,,,,,80_100,394.0813825,180.0978077
3156,2013,80,100,221,2,Loblolly Pine,131,15.4,14.3,,,,,,,,80_100,186.2650284,66.30503962
3157,2013,80,100,222,1,Loblolly Pine,131,11.2,9.8,,,,,,,,80_100,98.52034562,28.42171838
3158,2013,80,100,223,1,Loblolly Pine,131,13.6,13.1,,,,,,,,80_100,145.2672443,47.60334794
3159,2013,80,100,224,1,Loblolly Pine,131,8.2,10.4,,,,,,,,80_100,52.81017251,12.54512109
3161,2013,80,100,226,1,Loblolly Pine,131,20.8,20.4,,,,,,,,80_100,339.7946614,147.8487245
3162,2013,80,100,227,1,Loblolly Pine,131,15.5,18,,,,,,,,80_100,188.6919088,67.45996325
3164,2013,80,100,229,1,Loblolly Pine,131,10.1,11.8,,,,,,,,80_100,80.11846665,21.63090642
3166,2013,80,100,231,1,Loblolly Pine,131,9.6,10.7,,,,,,,,80_100,72.38229474,18.92727547
3167,2013,80,100,232,1,Loblolly Pine,131,27.7,21.8,,,,,,,,80_100,602.6281568,316.2323345
3170,2013,80,100,235,1,Loblolly Pine,131,31,22,,,,,,,,80_100,754.767635,425.1840432
3173,2013,80,100,238,1,Loblolly Pine,131,13.5,13.1,,,,,,,,80_100,143.1388153,46.67690337
3178,2013,80,100,243,1,Loblolly Pine,131,14.1,13.4,,,,,,,,80_100,156.1450089,52.40972263
3179,2013,80,100,244,2,Loblolly Pine,131,8.2,9.3,,,,,,,,80_100,52.81017251,12.54512109
3180,2013,80,100,245,1,Loblolly Pine,131,27.3,21.4,,,,,,,,80_100,585.3493972,304.3190694
3181,2013,80,100,246,1,Loblolly Pine,131,16.3,17.5,,,,,,,,80_100,208.672438,77.15563484
3182,2013,80,100,247,1,Loblolly Pine,131,24.4,20.3,,,,,,,,80_100,467.5946506,226.0461197
3183,2013,80,100,248,1,Loblolly Pine,131,15.5,14.1,,,,,,,,80_100,188.6919088,67.45996325
3184,2013,80,100,249,1,Loblolly Pine,131,28.2,22.1,,,,,,,,80_100,624.5800355,331.5122978
3185,2013,80,100,250,1,Loblolly Pine,131,8.9,8.4,,,,,,,,80_100,62.21138852,15.52382329
3186,2013,80,100,251,1,Loblolly Pine,131,10.9,12.6,,,,,,,,80_100,93.31315579,26.45148251
3187,2013,80,100,252,1,Loblolly Pine,131,33.4,23.1,,,,,,,,80_100,876.1587752,516.6441924
3188,2013,80,100,2697,1,Loblolly Pine,131,14.7,13.5,,,,,,,,80_100,169.7166891,58.56774473
3189,2013,80,100,2698,1,Loblolly Pine,131,17.8,18.2,,,,,,,,80_100,248.8455541,97.59043888
3190,2013,80,100,2699,1,Loblolly Pine,131,22,20.1,,,,,,,,80_100,380.1327111,171.6668307
3193,2013,80,110,491,1,Loblolly Pine,131,12.9,13.3,,,,,,,,80_110,130.6981084,41.35736112
3195,2013,80,110,493,1,Loblolly Pine,131,17.3,14.8,,,,,,,,80_110,235.0618163,90.44460678
3196,2013,80,110,494,1,Loblolly Pine,131,30.2,18.3,,,,,,,,80_110,716.3145409,397.0034678
3197,2013,80,110,495,1,Loblolly Pine,131,24.5,18.1,,,,,,,,80_110,471.4352476,228.5125491
3198,2013,80,110,496,1,Loblolly Pine,131,10.6,10.8,,,,,,,,80_110,88.24733764,24.57082668
3199,2013,80,110,497,1,Loblolly Pine,131,20.5,15.6,,,,,,,,80_110,330.0635782,142.2342916
3200,2013,80,110,498,1,Loblolly Pine,131,30.2,18.5,,,,,,,,80_110,716.3145409,397.0034678
3204,2013,80,110,2602,1,Loblolly Pine,131,12.1,14.1,,,,,,,,80_110,114.9901451,34.88637701
3207,2013,80,110,2605,1,Loblolly Pine,131,28.5,16.5,,,,,,,,80_110,637.9396582,340.8885736
3212,2013,80,110,2610,1,Loblolly Pine,131,8,9.6,,,,,,,,80_110,50.26548246,11.76884037
3214,2013,80,110,2612,1,Loblolly Pine,131,9.8,9.4,,,,,,,,80_110,75.42963961,19.98088397
3215,2013,80,110,2613,1,Loblolly Pine,131,20.8,18.1,,,,,,,,80_110,339.7946614,147.8487245
3218,2013,80,110,2616,1,Loblolly Pine,131,15.5,15,,,,,,,,80_110,188.6919088,67.45996325
3219,2013,80,110,2617,1,Loblolly Pine,131,12.3,15.2,,,,,,,,80_110,118.8228881,36.43889054
3220,2013,80,110,2618,1,Loblolly Pine,131,10.1,11.3,,,,,,,,80_110,80.11846665,21.63090642
3222,2013,80,110,2620,1,Loblolly Pine,131,10.1,11.6,,,,,,,,80_110,80.11846665,21.63090642
3225,2013,80,110,2623,1,Loblolly Pine,131,13.5,14,,,,,,,,80_110,143.1388153,46.67690337
3226,2013,80,110,2624,1,Loblolly Pine,131,9.5,10.7,,,,,,,,80_110,70.88218425,18.41419949
3229,2013,80,110,2627,1,Loblolly Pine,131,9.1,11.5,,,,,,,,80_110,65.03882191,16.45189601
3230,2013,80,110,2628,1,Loblolly Pine,131,13.9,14.5,,,,,,,,80_110,151.7467792,50.45212133
3232,2013,80,110,2630,1,Loblolly Pine,131,21.8,17.7,,,,,,,,80_110,373.2526232,167.5442861
3233,2013,80,110,2631,1,Loblolly Pine,131,8.9,8.7,,,,,,,,80_110,62.21138852,15.52382329
3235,2013,80,110,2633,1,Loblolly Pine,131,12.2,12.8,,,,,,,,80_110,116.8986626,35.65726578
3239,2013,80,110,2637,1,Loblolly Pine,131,13.1,12.9,,,,,,,,80_110,134.7821788,43.08536982
3244,2013,80,110,2642,1,Loblolly Pine,131,36,20.5,,,,,,,,80_110,1017.87602,627.5941161
3246,2013,80,110,2644,1,Loblolly Pine,131,14.1,13.1,,,,,,,,80_110,156.1450089,52.40972263
3249,2013,80,120,2055,1,Loblolly Pine,131,19.2,16.2,,,,,,,,80_120,289.529179,119.4374578
3250,2013,80,120,2056,1,Loblolly Pine,131,27.5,20.3,,,,,,,,80_120,593.9573611,310.2412948
3251,2013,80,120,2057,1,Loblolly Pine,131,26.9,22.5,,,,,,,,80_120,568.321965,292.6802438
3252,2013,80,120,2058,1,Loblolly Pine,131,35.3,24.8,,,,,,,,80_120,978.6767974,596.4999336
3253,2013,80,120,2059,1,Loblolly Pine,131,15.1,13.8,,,,,,,,80_120,179.0786352,62.91508079
3254,2013,80,120,2060,1,Loblolly Pine,131,45.1,26.1,,,,,,,,80_120,1597.507718,1113.882826
3259,2013,80,120,2065,1,Loblolly Pine,131,39.7,25.3,,,,,,,,80_120,1237.858191,806.9839934
3268,2013,80,120,2074,1,Loblolly Pine,131,11.7,9.3,,,,,,,,80_120,107.5131546,31.90900225
3272,2013,80,120,2078,1,Loblolly Pine,131,46.4,26,,,,,,,,80_120,1690.93083,1195.597362
3276,2013,80,120,2082,1,Loblolly Pine,131,34,25.5,,,,,,,,80_120,907.9202769,541.1464372
3290,2013,80,120,2096,1,Loblolly Pine,131,14.1,14.5,,,,,,,,80_120,156.1450089,52.40972263
3295,2013,80,120,2904,1,Loblolly Pine,131,17.1,21.9,,,,,,,,80_120,229.658277,87.68075865
3296,2013,80,120,2905,1,Loblolly Pine,131,27.9,21.9,,,,,,,,80_120,611.3617844,322.2923883
3297,2013,80,120,2906,1,Loblolly Pine,131,10.9,14.2,,,,,,,,80_120,93.31315579,26.45148251
3298,2013,80,120,2907,1,Loblolly Pine,131,16.3,14.8,,,,,,,,80_120,208.672438,77.15563484
3299,2013,80,120,2908,1,Loblolly Pine,131,12.4,14.8,,,,,,,,80_120,120.7628216,37.23130992
3300,2013,80,130,2909,1,Loblolly Pine,131,20.7,17.9,,,,,,,,80_130,336.535259,145.962305
3304,2013,80,130,2913,1,Loblolly Pine,131,28.7,23.7,,,,,,,,80_130,646.9246132,347.226604
3310,2013,80,130,2919,1,Loblolly Pine,131,47.2,24.9,,,,,,,,80_130,1749.741444,1247.357261
3324,2013,80,130,2933,1,Loblolly Pine,131,24.5,17.5,,,,,,,,80_130,471.4352476,228.5125491
3328,2013,80,130,2937,1,Loblolly Pine,131,60.1,28.4,,,,,,,,80_130,2836.86602,2224.467666
3330,2013,80,130,2939,1,Loblolly Pine,131,25.6,23.9,,,,,,,,80_130,514.7185404,256.7287643
3333,2013,80,130,2942,1,Loblolly Pine,131,32.4,24.3,,,,,,,,80_130,824.479576,477.2670393
3335,2013,80,130,2944,1,Loblolly Pine,131,21.9,19.3,,,,,,,,80_130,376.6848131,169.5978446
3337,2013,80,130,2946,1,Loblolly Pine,131,23.5,17.8,,,,,,,,80_130,433.7361357,204.578215
3350,2013,80,140,41,1,Loblolly Pine,131,11,12.6,,,,,,,,80_140,95.03317777,27.09819226
3351,2013,80,140,42,1,Loblolly Pine,131,9.5,14.6,,,,,,,,80_140,70.88218425,18.41419949
3352,2013,80,140,43,1,Loblolly Pine,131,22.9,19,,,,,,,,80_140,411.8706509,190.9881387
3353,2013,80,140,44,1,Loblolly Pine,131,30.2,20.5,,,,,,,,80_140,716.3145409,397.0034678
3365,2013,80,140,56,1,Loblolly Pine,131,36.9,18.9,,,,,,,,80_140,1069.405993,668.9012026
3380,2013,80,140,71,1,Loblolly Pine,131,17.5,17.2,,,,,,,,80_140,240.5281875,93.2622558
3381,2013,80,140,72,1,Loblolly Pine,131,31.4,17.5,,,,,,,,80_140,774.3711732,439.7042675
3382,2013,80,140,73,1,Loblolly Pine,131,10.7,11.4,,,,,,,,80_140,89.92023573,25.18786167
3385,2013,80,140,76,1,Loblolly Pine,131,16.7,16.5,,,,,,,,80_140,219.0396938,82.31292372
3387,2013,80,140,78,1,Loblolly Pine,131,21.9,17.3,,,,,,,,80_140,376.6848131,169.5978446
3388,2013,80,140,79,1,Loblolly Pine,131,20.1,16.7,,,,,,,,80_140,317.308712,134.9564194
3391,2013,80,140,82,1,Loblolly Pine,131,17.2,16.9,,,,,,,,80_140,232.3521927,89.05598155
3392,2013,80,140,83,1,Loblolly Pine,131,12.1,11.5,,,,,,,,80_140,114.9901451,34.88637701
3393,2013,80,140,84,1,Loblolly Pine,131,22.3,17,,,,,,,,80_140,390.5706527,177.9667337
3395,2013,80,140,86,1,Loblolly Pine,131,18.5,17.5,,,,,,,,80_140,268.8025214,108.1707377
3397,2013,80,140,88,1,Loblolly Pine,131,14.4,15.3,,,,,,,,80_140,162.8601632,55.43484878
3399,2013,80,150,101,1,Loblolly Pine,131,9.7,11.5,,,,,,,,80_150,73.89811319,19.44948202
3400,2013,80,150,102,1,Loblolly Pine,131,8.3,11.7,,,,,,,,80_150,54.10607948,12.94551912
3403,2013,80,150,105,1,Loblolly Pine,131,8.5,8.3,,,,,,,,80_150,56.74501731,13.77117392
3404,2013,80,150,106,1,Loblolly Pine,131,16.5,15.3,,,,,,,,80_150,213.82465,79.70815787
3409,2013,80,150,111,1,Loblolly Pine,131,9.7,10.1,,,,,,,,80_150,73.89811319,19.44948202
3410,2013,80,150,112,1,Loblolly Pine,131,17.8,18,,,,,,,,80_150,248.8455541,97.59043888
3411,2013,80,150,470,1,Loblolly Pine,131,29.2,21,,,,,,,,80_150,669.66189,363.3781177
3412,2013,80,150,471,1,Loblolly Pine,131,17.7,16.3,,,,,,,,80_150,246.0573906,96.13408687
3413,2013,80,150,472,1,Loblolly Pine,131,8.5,11.5,,,,,,,,80_150,56.74501731,13.77117392
3415,2013,80,150,474,1,Loblolly Pine,131,27.5,21.5,,,,,,,,80_150,593.9573611,310.2412948
3420,2013,80,150,479,1,Loblolly Pine,131,12.3,12.4,,,,,,,,80_150,118.8228881,36.43889054
3423,2013,80,150,482,1,Loblolly Pine,131,14.8,14.9,,,,,,,,80_150,172.0336137,59.63624292
3424,2013,80,150,483,1,Loblolly Pine,131,20.6,17.1,,,,,,,,80_150,333.2915646,144.0908409
3425,2013,80,150,484,1,Loblolly Pine,131,13.8,14,,,,,,,,80_150,149.5712262,49.4909015
3427,2013,80,150,486,1,Loblolly Pine,131,50.2,20.5,,,,,,,,80_150,1979.234788,1451.232213
3428,2013,80,150,487,1,Loblolly Pine,131,36.6,28,,,,,,,,80_150,1052.087964,654.9659311
3429,2013,80,150,488,2,Loblolly Pine,131,12.1,2.2,,,,,,,,80_150,114.9901451,34.88637701
3435,2013,80,150,494,1,Loblolly Pine,131,34.4,23,,,,,,,,80_150,929.4087706,557.8476131
3442,2013,80,160,114,1,Loblolly Pine,131,8.7,13.5,,,,,,,,80_160,59.44678699,14.6304282
3443,2013,80,160,115,1,Loblolly Pine,131,12.8,14.1,,,,,,,,80_160,128.6796351,40.51009758
3444,2013,80,160,116,1,Loblolly Pine,131,21.5,20.5,,,,,,,,80_160,363.050301,161.4757945
3445,2013,80,160,117,1,Loblolly Pine,131,19.2,20.3,,,,,,,,80_160,289.529179,119.4374578
3446,2013,80,160,118,1,Loblolly Pine,131,8.5,11.8,,,,,,,,80_160,56.74501731,13.77117392
3447,2013,80,160,119,1,Loblolly Pine,131,19.6,15.5,,,,,,,,80_160,301.7185585,126.1896806
3449,2013,80,160,121,1,Loblolly Pine,131,12.8,12.5,,,,,,,,80_160,128.6796351,40.51009758
3450,2013,80,160,122,1,Loblolly Pine,131,16.8,19.1,,,,,,,,80_160,221.6707776,83.63502112
3455,2013,80,160,127,1,Loblolly Pine,131,9.3,12.9,,,,,,,,80_160,67.92908715,17.41517874
3456,2013,80,160,128,1,Loblolly Pine,131,12.1,10.3,,,,,,,,80_160,114.9901451,34.88637701
3457,2013,80,160,129,1,Loblolly Pine,131,29.5,20.8,,,,,,,,80_160,683.4927517,373.2800206
3458,2013,80,160,130,1,Loblolly Pine,131,12.2,14.5,,,,,,,,80_160,116.8986626,35.65726578
3459,2013,80,160,131,1,Loblolly Pine,131,9.5,11.8,,,,,,,,80_160,70.88218425,18.41419949
3460,2013,80,160,132,1,Loblolly Pine,131,13,14.8,,,,,,,,80_160,132.7322896,42.21576619
3461,2013,80,160,133,1,Loblolly Pine,131,9.7,10.3,,,,,,,,80_160,73.89811319,19.44948202
3463,2013,80,160,135,1,Loblolly Pine,131,17.1,19.5,,,,,,,,80_160,229.658277,87.68075865
3466,2013,80,160,138,1,Loblolly Pine,131,28,21.6,,,,,,,,80_160,615.7521601,325.3483569
3467,2013,80,160,139,1,Loblolly Pine,131,11.4,12.7,,,,,,,,80_160,102.0703453,29.78579448
3470,2013,80,160,142,1,Loblolly Pine,131,19,19.3,,,,,,,,80_160,283.528737,116.1474504
3473,2013,80,160,145,1,Loblolly Pine,131,9.7,8.4,,,,,,,,80_160,73.89811319,19.44948202
3474,2013,80,160,146,1,Loblolly Pine,131,33.5,22.3,,,,,,,,80_160,881.4130889,520.6821782
3476,2013,80,160,148,1,Loblolly Pine,131,10.5,10.7,,,,,,,,80_160,86.59014751,23.96355898
3479,2013,80,160,151,1,Loblolly Pine,131,25.1,20.8,,,,,,,,80_160,494.8086969,243.6554138
3480,2013,80,160,152,1,Loblolly Pine,131,13.5,15.2,,,,,,,,80_160,143.1388153,46.67690337
3481,2013,80,160,153,1,Loblolly Pine,131,34.9,22.7,,,,,,,,80_160,956.622817,579.137196
3483,2013,80,160,155,1,Loblolly Pine,131,20.5,22.4,,,,,,,,80_160,330.0635782,142.2342916
3485,2013,80,160,157,1,Loblolly Pine,131,27.4,22.5,,,,,,,,80_160,589.6455252,307.271593
3486,2013,80,160,158,1,Loblolly Pine,131,22.3,19.9,,,,,,,,80_160,390.5706527,177.9667337
3488,2013,80,160,160,1,Loblolly Pine,131,12.7,17.3,,,,,,,,80_160,126.6768698,39.67391828
3489,2013,80,160,161,1,Loblolly Pine,131,8.5,9.6,,,,,,,,80_160,56.74501731,13.77117392
3490,2013,80,160,162,1,Loblolly Pine,131,16.8,19.5,,,,,,,,80_160,221.6707776,83.63502112
3491,2013,80,160,163,1,Loblolly Pine,131,8.2,10.7,,,,,,,,80_160,52.81017251,12.54512109
3492,2013,80,160,164,1,Loblolly Pine,131,13.1,18.7,,,,,,,,80_160,134.7821788,43.08536982
3493,2013,80,160,165,1,Loblolly Pine,131,13.2,18.3,,,,,,,,80_160,136.847776,43.96622885
3495,2013,80,160,167,1,Loblolly Pine,131,22.6,18.3,,,,,,,,80_160,401.1499659,184.4068382
3497,2013,80,160,169,1,Loblolly Pine,131,31.7,22.6,,,,,,,,80_160,789.2387604,450.7833976
3499,2013,80,170,411,1,Loblolly Pine,131,13.4,12.6,,,,,,,,80_170,141.0260942,45.76193934
3500,2013,80,170,412,1,Loblolly Pine,131,7.7,10.4,,,,,,,,80_170,46.56625711,10.66466832
3501,2013,80,170,413,1,Loblolly Pine,131,13.6,14.5,,,,,,,,80_170,145.2672443,47.60334794
3505,2013,80,170,417,1,Loblolly Pine,131,8.2,9.5,,,,,,,,80_170,52.81017251,12.54512109
3506,2013,80,170,418,1,Loblolly Pine,131,28.6,19.5,,,,,,,,80_170,642.4242817,344.0488556
3512,2013,80,170,424,1,Loblolly Pine,131,8.7,10.9,,,,,,,,80_170,59.44678699,14.6304282
3513,2013,80,170,425,1,Loblolly Pine,131,10.5,14.3,,,,,,,,80_170,86.59014751,23.96355898
3514,2013,80,170,426,1,Loblolly Pine,131,26.1,19.5,,,,,,,,80_170,535.0210829,270.2191541
3518,2013,80,170,430,1,Loblolly Pine,131,13.3,11.4,,,,,,,,80_170,138.9290811,44.85839989
3519,2013,80,170,431,1,Loblolly Pine,131,14.2,14,,,,,,,,80_170,158.3676857,53.40621366
3521,2013,80,170,433,1,Loblolly Pine,131,9.5,11.7,,,,,,,,80_170,70.88218425,18.41419949
3523,2013,80,170,435,1,Loblolly Pine,131,18.3,16.2,,,,,,,,80_170,263.0219909,105.0784338
3524,2013,80,170,436,1,Loblolly Pine,131,20.4,18.8,,,,,,,,80_170,326.8512997,140.3926161
3525,2013,80,170,662,1,Loblolly Pine,131,21.3,17.1,,,,,,,,80_170,356.3272928,157.5065666
3527,2013,80,170,664,1,Loblolly Pine,131,10.5,15.9,,,,,,,,80_170,86.59014751,23.96355898
3529,2013,80,170,666,1,Loblolly Pine,131,11,13.6,,,,,,,,80_170,95.03317777,27.09819226
3530,2013,80,170,667,1,Loblolly Pine,131,12,10.8,,,,,,,,80_170,113.0973355,34.12616544
3531,2013,80,170,668,1,Loblolly Pine,131,10.1,11.6,,,,,,,,80_170,80.11846665,21.63090642
3532,2013,80,170,669,1,Loblolly Pine,131,11.8,15.3,,,,,,,,80_170,109.3588403,32.63753744
3533,2013,80,170,670,1,Loblolly Pine,131,11.1,9.8,,,,,,,,80_170,96.76890771,27.7549171
3534,2013,80,170,671,1,Loblolly Pine,131,16.2,15.9,,,,,,,,80_170,206.119894,75.89884017
3535,2013,80,170,672,1,Loblolly Pine,131,8.1,10.2,,,,,,,,80_170,51.5299735,12.15291784
3537,2013,80,170,674,1,Loblolly Pine,131,17.2,16.3,,,,,,,,80_170,232.3521927,89.05598155
3538,2013,80,170,675,1,Loblolly Pine,131,7.7,7.6,,,,,,,,80_170,46.56625711,10.66466832
3539,2013,80,170,676,1,Loblolly Pine,131,18.3,15.6,,,,,,,,80_170,263.0219909,105.0784338
3540,2013,80,170,677,1,Loblolly Pine,131,17.2,18.5,,,,,,,,80_170,232.3521927,89.05598155
3541,2013,80,170,678,1,Loblolly Pine,131,14.9,12,,,,,,,,80_170,174.3662463,60.7169297
3542,2013,80,170,679,1,Loblolly Pine,131,9.2,9.9,,,,,,,,80_170,66.47610055,16.92910303
3543,2013,80,170,680,1,Loblolly Pine,131,15.5,15.9,,,,,,,,80_170,188.6919088,67.45996325
3545,2013,80,170,682,1,Loblolly Pine,131,18.2,17.1,,,,,,,,80_170,260.1552876,103.5531822
3547,2013,80,170,684,1,Loblolly Pine,131,9.7,11,,,,,,,,80_170,73.89811319,19.44948202
3549,2013,80,170,686,1,Loblolly Pine,131,11.1,14.3,,,,,,,,80_170,96.76890771,27.7549171
3551,2013,80,170,688,1,Loblolly Pine,131,11.2,11.5,,,,,,,,80_170,98.52034562,28.42171838
3552,2013,80,170,689,1,Loblolly Pine,131,13.3,12.4,,,,,,,,80_170,138.9290811,44.85839989
3554,2013,80,170,691,1,Loblolly Pine,131,8.4,9.7,,,,,,,,80_170,55.41769441,13.3541806
3555,2013,80,170,692,1,Loblolly Pine,131,16.6,17,,,,,,,,80_170,216.4243179,81.0039857
3557,2013,80,170,694,1,Loblolly Pine,131,36,22.5,,,,,,,,80_170,1017.87602,627.5941161
3558,2013,80,170,695,1,Loblolly Pine,131,8.2,11.1,,,,,,,,80_170,52.81017251,12.54512109
3565,2013,80,180,490,1,Loblolly Pine,131,39.2,21.5,,,,,,,,80_180,1206.874234,781.2644346
3571,2013,80,180,496,1,Loblolly Pine,131,12.2,10.3,,,,,,,,80_180,116.8986626,35.65726578
3572,2013,80,180,497,1,Loblolly Pine,131,42.6,23.3,,,,,,,,80_180,1425.309171,965.2139903
3584,2013,80,180,638,1,Loblolly Pine,131,8.3,7.7,,,,,,,,80_180,54.10607948,12.94551912
3585,2013,80,180,639,1,Loblolly Pine,131,20.3,19.2,,,,,,,,80_180,323.6547292,138.5657732
3586,2013,80,180,640,1,Loblolly Pine,131,12.5,16.4,,,,,,,,80_180,122.718463,38.03458227
3587,2013,80,180,641,1,Loblolly Pine,131,9.9,11.7,,,,,,,,80_180,76.97687399,20.52154586
3588,2013,80,180,642,1,Loblolly Pine,131,27.5,16.7,,,,,,,,80_180,593.9573611,310.2412948
3589,2013,80,180,643,1,Loblolly Pine,131,14.4,19.3,,,,,,,,80_180,162.8601632,55.43484878
3590,2013,80,180,644,1,Loblolly Pine,131,18.2,18.4,,,,,,,,80_180,260.1552876,103.5531822
3591,2013,80,180,645,1,Loblolly Pine,131,13.2,16.9,,,,,,,,80_180,136.847776,43.96622885
3592,2013,80,180,646,1,Loblolly Pine,131,28.6,19.5,,,,,,,,80_180,642.4242817,344.0488556
3593,2013,80,180,647,1,Loblolly Pine,131,17.3,18.5,,,,,,,,80_180,235.0618163,90.44460678
3594,2013,80,180,648,1,Loblolly Pine,131,22.8,19,,,,,,,,80_180,408.2813813,188.7786228
3601,2013,80,180,655,1,Loblolly Pine,131,28.6,21.3,,,,,,,,80_180,642.4242817,344.0488556
3602,2013,80,180,656,1,Loblolly Pine,131,37,21.5,,,,,,,,80_180,1075.210086,673.583252
3604,2013,80,180,658,1,Loblolly Pine,131,41.3,21,,,,,,,,80_180,1339.645793,892.378554
3605,2013,80,180,659,1,Loblolly Pine,131,28.3,21.3,,,,,,,,80_180,629.0175351,334.6203178
3614,2013,80,190,355,1,Loblolly Pine,131,24.7,18.5,,,,,,,,80_190,479.1635655,233.4944647
3626,2013,80,190,367,1,Loblolly Pine,131,7.8,10.1,,,,,,,,80_190,47.78362426,11.02478536
3629,2013,80,190,370,1,Loblolly Pine,131,12.8,14.4,,,,,,,,80_190,128.6796351,40.51009758
3631,2013,80,190,372,1,Loblolly Pine,131,30.1,23.8,,,,,,,,80_190,711.57859,393.5611684
3633,2013,80,190,374,1,Loblolly Pine,131,44.4,24.4,,,,,,,,80_190,1548.302523,1071.124225
3635,2013,80,190,376,1,Loblolly Pine,131,35.2,24.5,,,,,,,,80_190,973.1397404,592.1316332
3642,2013,80,190,383,1,Loblolly Pine,131,37.2,27.4,,,,,,,,80_190,1086.865394,683.0027988
3645,2013,80,190,386,1,Loblolly Pine,131,33,25.3,,,,,,,,80_190,855.2985999,500.6747881
3652,2013,80,190,393,1,Loblolly Pine,131,31.7,23.4,,,,,,,,80_190,789.2387604,450.7833976
3653,2013,80,190,394,1,Loblolly Pine,131,31.8,23.7,,,,,,,,80_190,794.2260388,454.5125161
3662,2013,80,200,2503,1,Loblolly Pine,131,13.6,15.6,,,,,,,,80_200,145.2672443,47.60334794
3664,2013,80,200,2505,1,Loblolly Pine,131,38.8,23.2,,,,,,,,80_200,1182.369811,761.0209003
3665,2013,80,200,2506,1,Loblolly Pine,131,10.9,14,,,,,,,,80_200,93.31315579,26.45148251
3667,2013,80,200,2508,1,Loblolly Pine,131,34.6,24.4,,,,,,,,80_200,940.2472653,566.3083172
3669,2013,80,200,2510,1,Loblolly Pine,131,10.1,13.6,,,,,,,,80_200,80.11846665,21.63090642
