,year,ws,plot,tree,history,species,sp_cd,dbh_cm,tr_ht_m,comments,treatment,plot_type,azimuth,dis_pl_ctr_m,cr_dam,deg_lean,plotNum,BA,biomass
108,1991,77,70,24,2,Loblolly Pine,131,17.8,15.5,,,,,,,,77_70,248.8455541,97.59043888
109,1991,77,70,25,2,Loblolly Pine,131,18.8,20.4,,,,,,,,77_70,277.5911269,112.9143768
110,1991,77,70,26,2,Loblolly Pine,131,7.6,14,,,,,,,,77_70,45.36459792,10.31239809
111,1991,77,70,27,2,Loblolly Pine,131,8.1,15.2,,,,,,,,77_70,51.5299735,12.15291784
112,1991,77,70,28,2,Loblolly Pine,131,9.4,13.1,,,,,,,,77_70,69.39778172,17.91018903
113,1991,77,70,29,1,Loblolly Pine,131,15,21.6,,,,,,,,77_70,176.7145868,61.80985807
114,1991,77,70,30,2,Loblolly Pine,131,14,14.6,,,,,,,,77_70,153.93804,51.42504341
115,1991,77,70,31,2,Loblolly Pine,131,9.4,20.4,,,,,,,,77_70,69.39778172,17.91018903
116,1991,77,70,32,2,Loblolly Pine,131,7.1,9.5,,,,,,,,77_70,39.59192142,8.666269168
117,1991,77,70,33,2,Loblolly Pine,131,14.7,22,,,,,,,,77_70,169.7166891,58.56774473
118,1991,77,70,34,2,Loblolly Pine,131,11.9,19.2,,,,,,,,77_70,111.2202339,33.37657201
119,1991,77,70,35,2,Loblolly Pine,131,11.7,14.3,,,,,,,,77_70,107.5131546,31.90900225
120,1991,77,70,36,2,Loblolly Pine,131,9.1,11.6,,,,,,,,77_70,65.03882191,16.45189601
121,1991,77,70,37,2,Loblolly Pine,131,8.1,7.9,,,,,,,,77_70,51.5299735,12.15291784
122,1991,77,70,38,2,Loblolly Pine,131,10.7,15.5,,,,,,,,77_70,89.92023573,25.18786167
123,1991,77,70,39,2,Loblolly Pine,131,18.8,13.1,,,,,,,,77_70,277.5911269,112.9143768
124,1991,77,70,40,2,Loblolly Pine,131,22.1,22,,,,,,,,77_70,383.596317,173.7512825
125,1991,77,70,41,2,Loblolly Pine,131,13.2,18,,,,,,,,77_70,136.847776,43.96622885
126,1991,77,70,42,1,Loblolly Pine,131,10.9,16.2,,,,,,,,77_70,93.31315579,26.45148251
127,1991,77,70,43,2,Loblolly Pine,131,13,20.7,,,,,,,,77_70,132.7322896,42.21576619
128,1991,77,70,44,2,Loblolly Pine,131,14.2,9.8,,,,,,,,77_70,158.3676857,53.40621366
129,1991,77,70,45,2,Loblolly Pine,131,8.9,19.2,,,,,,,,77_70,62.21138852,15.52382329
239,1991,77,120,3,1,Loblolly Pine,131,45.7,26.5,,,,,,,,77_120,1640.29621,1151.226524
240,1991,77,120,4,2,Loblolly Pine,131,37.3,27.1,,,,,,,,77_120,1092.716611,687.7402986
