id,ws,plot,s_depth_cm,date,time,wt_mg,c_per,n_per
Santee 195 20-30 LL-67,77,195,20_30,9/14/2021,12:30,49.21,1.035193324,0.009731947
Santee 195 30-50 LL-68,77,195,30_50,9/14/2021,12:35,47,0.517179847,0
Santee 195 50-75 LL-69,77,195,50_75,9/14/2021,12:41,47,0.443335086,0
Santee 195 75-100 LL-70,77,195,75_100,9/14/2021,12:47,50.6,0.323664308,0
Santee 230 0-10 LL-71,77,230,0_10,9/14/2021,12:53,49.1,5.141321182,0.159742668
Santee 230 10-20 LL-72,77,230,10_20,9/14/2021,12:58,50.8,2.823622465,0.075909287
Santee 230 20-30 LL-73,77,230,20_30,9/14/2021,13:10,50.5,2.725768328,0.076131977
Santee 230 30-50 LL-74,77,230,30_50,9/14/2021,13:16,50.6,0.71105504,0.001013773
Santee 230 50-75 LL-75,77,230,50_75,9/14/2021,13:21,51.5,0.413111895,0
Santee 230 75-100 LL-76,77,230,75_100,9/14/2021,13:27,46.5,0.323696733,0
Santee 230 75-100 LL-77,77,230,75_100,9/14/2021,13:33,51.2,0.319996864,0
Santee 230 75-100 LL-78,77,230,75_100,9/14/2021,13:39,49.3,0.327179402,0
